ChannelId,AuthorDisplayName,VideoId,LikeCount,ReplyCount,PublishedAt,TextDisplay
UC4D7lKsxugDtBVo9a0QbpTw,@AkgunDogac,AAlG-L-94wo,81,12,2024-09-28T14:03:29Z,"Umarım bu video bir çok kişiye Youtube otomasyonu hakkında faydalı olur. İzlediğiniz için teşekkür ederim.🥷Tek istediğim eğer kş bu eğitimin faydalı olduğunu düşünüyorsanız, görüşlerinizi instagram postumun altında paylaşmanız. 🙏"
UC2ZeTfiiPoBy3PH92qDBIOg,@LWPEnglish,AAlG-L-94wo,0,0,2024-11-10T11:21:37Z,Çok teşekkürler
UCSo3yevAN3ShSQd96R6NHdw,@emiradbelli7023,AAlG-L-94wo,0,0,2024-11-08T10:28:21Z,"Bilgiler için çok teşekkürler. Büyük emek...<br>Bir sorum olacaktı. Benim bir finans kanalım var, tabii içinde yurt içi ve yurt dışı jeopolitik gelimeleri de değerlendiriyorum. Kanal kategorisini news&amp;politics seçtim. Acaba yanlış mı yaptım? Değiştirirsem ne yapmalıyım(analizler de olduğu için eğitim diy e düşünüyorum.)  Acaba şimdi değiştirsem gösterimlerim azalır mı? Yanıtlarsanız çok sevinirim. <br>saygılar..."
UCnvNHAHdcZUUbTJuMxlXy2g,@Andimprettytipsy,AAlG-L-94wo,0,0,2024-11-08T09:39:24Z,Soyadinii mi degistirdin yoksa hep dogac miydi
UCrnkj6rWdXctTQk8_WzrxuA,@ercan38ortg,AAlG-L-94wo,0,0,2024-11-08T08:51:21Z,ekip ile mi çalısıyorsunuz
UCVFzz26QB7qjW0sJBXBoLJQ,@Alli-ow4jg,AAlG-L-94wo,0,0,2024-11-08T02:14:24Z,1 saat boş yapmışsın işi göstermek yerine tam tüccarsın
UCa1bnwDVmsNoAIdlq1-hI5w,@freewalle,AAlG-L-94wo,0,0,2024-11-08T01:39:24Z,Emegine sağlık abone oldum kardeşim
UCCCAw2Lr459vRpLjlgKKqNQ,@claynoxTR,AAlG-L-94wo,0,0,2024-11-06T21:42:26Z,"Allah işini rast getirsin, bilgisini ücretsiz paylaşan birisin."
UC07B_KgexDZsq6eukZhJTmA,@ZerZel00,AAlG-L-94wo,0,0,2024-11-04T10:57:03Z,çok güzel bir video olmuş tebrik ederim. bir sorum olacaktı yabancı dizilerin kısa videolarını editleyip paylaşmak istiyorum telif yermiyim.
UC2tGF1rqrotKFascUWQyosQ,@sahadansesler2024,AAlG-L-94wo,0,1,2024-11-03T22:16:53Z,"Hocam sizin sayenizde para. kazanmam açıldı çok teşekkürler,bir sorum olacak para kazanmam açılınca bağkur borcum çıktı ne yapmam gerekiyor lütfen sorumu cevaplarsanız sevinirim."
UCmRITMgLNCWEih2dcxliaIQ,@yahyaoner,AAlG-L-94wo,0,0,2024-11-03T03:49:25Z,Başlangıçlar her zaman zordur sanırım bu da bana bir başlangıç işareti oldu<br>Değerli içeriğin teşekkürler…
UCKD9vKL7EPpy_QxmrWgp4cA,@icsiz_adam,AAlG-L-94wo,0,0,2024-11-01T18:27:44Z,Bizim türkler herkes birbirini takip etse youtubenin anasını ağlatır ama insanlarımız bencil
UCoZxTD5TXbp7DTOWO9q2OvQ,@Duruistewewa,AAlG-L-94wo,0,0,2024-11-01T17:18:06Z,Abi noldu sana eskiden eglenceli içerikler çekerdin çok büyük takipçindim şimdi baktım hesabına daha çok bilgi içerikleri çekmeye başlamıssın
UC2vGn3KsDahXIUyPw9Y0yjA,@asil9935,AAlG-L-94wo,0,0,2024-10-31T10:48:57Z,❤
UCpYfkcSBC1rcK-6OqKBFoyw,@AyseYanikIleSanatAtolyesi,AAlG-L-94wo,0,0,2024-10-31T00:24:21Z,"Akgün merhaba ☺️<br>Öncelikle her gün ilgi alanlarıma göre  youtube videoları izliyorum ve son iki yıldır doğru dürüst bir video üretmememe rağmen ve bu tür videoları izlememe rağmen senin bu videonun karşıma çıkması ilginç oldu.Çokkk içten ve heyecanlı anlattın, bir süredir senin kadar içten ve heyecanla anlatan bir içerik üreticisi görmedim ve bu konuda daha öncesinde yani iki yıl öncesine kadar bu tarz videolar izliyordum fakat son iki yıl kadar  bu tür video pek izlememe rağmen bu videonu sonuna kadar ilgiyle izledim. Çok içten ve heyecanlı anlattın ve motive oldum tekrar. Anlattığın pek çok şeyi zamanında  başka kanallardan izledim fakat , ilk defa senden duyduğum detaylarda var  ve bunun için teşekkür ederim,iki yıl olmuştur doğru düzgün video üretmeyeli ,fakat buna rağmen çok yavaş olsada  kanalıma her gün yeni katılan bir kaç kişi oluyor .Amacım emekli olduğumda faydalı bir meşgale olması , hem kendime , hem insanlara .Bir sanat kanalı benimki,nsanlara en kısa sürede nasıl zengin olunur videoları değil tabi benimkiler 😅☺️ fakat insanların sanat yoluyla ruhuna hitap eden bir kanal 🥰 Her bir video için saatlerce uygulamalı çekim yapıp, sonrasında çekimleri birleştirip, editleyip , görsel , yazı , selendirme vb. Video yapmanın bütün inceliklerini öğrenip emek ve zaman harcadığım bir kanal .İlk zamanlarda videolarımda soldan giren kanal adımın animasyonu için Ozan Sihay ın bir videosunu abartmıyorum durdura durdura 50 - 60 kez izlemişliğim var , fakat sonun da yaptım .Kanalımın kapak sayfasını , video kapaklarını vb .her şeyini sıfırdan öğrendim ve hepsini kendim yaptım .Sanırım emeklerimin yeterince karşılığını alamadığımı düşündüğümden motivayonum da düştü sanırım . Para kazanmam açılsa da nasıl olacak bilmiyorum , halen devlet memuru olduğum için , neyse emekliliğe hazırlık diyelim 😄🙃 Çok uzun bir yorum oldu farkındayım 🤭Yani sonuçta anlattığın her şey için teşekkürler .☺️🙏❤️"
UCgEFd2SgsgxU4m-AordbtfA,@UfukTaşdemir-y8q,AAlG-L-94wo,0,0,2024-10-30T14:15:23Z,"Akgün Bey harikasınız, mükemmel içerik. Teşekkürler"
UCpGstKEhsbsexevVA9E3Nbw,@BeroTTo,AAlG-L-94wo,0,0,2024-10-30T13:03:06Z,Usta bu beleş yapay zeka video kaç gunde oluşturuyor
UC5vF6qlt4SUT0nDLUaVa4Fg,@FntstkDcovrs,AAlG-L-94wo,0,0,2024-10-29T21:53:51Z,Çok teşekkürler. Video için. Başarılarının devamını dilerim..
UCNPDPe_zcEBFzKP6XrZB0CA,@9MeFe9,AAlG-L-94wo,0,0,2024-10-29T13:26:54Z,Öncelikle verdiğin bilgiler için teşekkürler. Midjourney tarzı ücretsiz kullanabileceğimiz text to image program var mı? Karakter tutarlığı için soruyorum
UC2kgiky3cUVfB50mLOaCfxQ,@yalnizsempanze,AAlG-L-94wo,0,0,2024-10-29T09:18:05Z,Akgün bey emeğinize yüreğinize sağlık ❤
UCq7MWCY5_TIJa2QiCwvz20w,@TheAmericanNewss,AAlG-L-94wo,0,0,2024-10-29T06:51:56Z,Eğitimi aldım yardımcı olur musunuz Akgün bey
UCIjOqahVYJPg4Cfnnm8CurA,@ebcorr,AAlG-L-94wo,0,0,2024-10-28T11:00:00Z,Verdiğim tüm bilgiler için teşekkürler ağabey.
UCXgjbzsuhmHJc2K-H0CMiWg,@oktayakcil7212,AAlG-L-94wo,0,0,2024-10-28T09:08:38Z,ŞAHANE BİLGİLER SÜPER
UCWZkekVUwDE4GOsAmSqa25Q,@furkanaydemir61,AAlG-L-94wo,1,0,2024-10-26T06:02:29Z,Samimiyetiniz için kendi adıma teşekkür ederim
UCt2-3VkV4aESssPmla8dzzw,@Guldurmebeni,AAlG-L-94wo,1,1,2024-10-25T15:32:20Z,Herseyi bir bir ortaya dökmüşsün eline sağlık😊
UCmtzgbxMtTLSG6E-IptrBdA,@ZAFERBAYNAZOGLU,AAlG-L-94wo,0,0,2024-10-25T08:57:02Z,güzel video olmuş
UC0ebVz9wvQksdH38JU7ffLw,@karimovanar,AAlG-L-94wo,0,0,2024-10-23T17:51:03Z,Abi numarani nasil deyisek
UCKbXJeFKWdSAGtYOy6RqSww,@deucalioon,AAlG-L-94wo,0,0,2024-10-23T16:49:12Z,takibe takip yapacak var mı?
UC8PQXAVtVKL6D_5ZiIH5HeQ,@Guel_K_Kitchen,AAlG-L-94wo,0,0,2024-10-22T23:53:12Z,Evet çok zor milyonlarca insanların içinde keşfete düşmek😢
UC5wniVzhiDs7gF0HHHegOfw,@ozandede4240,AAlG-L-94wo,1,0,2024-10-21T18:22:25Z,teşekkür ederiz. youtube otomasyon 101 dersi olmuş..:)
